Dew Point (Â°C),Humidity (%),Wind Speed (km/h),Pressure (hPa)
3.5095758329977818,74.72636119708497,15.668862437473676,1003.7261773669412
3.475473297503669,74.51990137006072,15.877289321292983,1003.5979011815491
3.4355193544432545,74.60221790786362,16.07873692850397,1003.0473168293098
3.2134567941927976,74.36997108752952,16.886228922936688,1002.5179937180166
2.835077486209048,73.67078121825897,17.31187001015039,1002.7646458325142
2.4380749447925716,73.34181099522421,17.768986077811153,1003.0310497406816
2.069444961272481,72.45735645516376,17.35263412626996,1003.3185774247949
2.0516911694002005,72.44463345642725,17.19388159208091,1002.9102853821463
2.0661557674013453,72.43383521777236,17.187616873621977,1002.700597324011
2.092931552898632,72.73028414229904,17.154262081859567,1002.0887060964147
1.9549275715370964,72.72588761751561,17.712812832294897,1001.5190050869759
1.6766678601128993,72.2632447415293,17.881679227056868,1001.7465858326992
1.3941754708908363,72.17435225739477,18.0806593300206,1002.0151557271435
1.1524158552349428,71.5283235114431,17.41127830696888,1002.3255808001105
1.2715552108093267,71.74730367935003,17.010897516809592,1001.9599946479865
1.4303524660875064,71.95665308993733,16.780360020012296,1001.8115102341527
1.606139268549505,72.45721825590947,16.545548027632975,1001.2776593466897
1.6189583014021256,72.6368968816459,16.93028132474703,1000.800868938142
1.4904373066564434,72.33484067692588,16.957034635083318,1001.1340098479944
1.353748833846466,72.38024153078331,17.04880854184081,1001.5183704503928
1.2511276248173475,71.8401126084048,16.309389851931932,1001.9522587394424
1.500199134623899,72.1352459035947,15.877407734081649,1001.7151724036354
1.7774358830691632,72.39041695741992,15.653953415856787,1001.6975720572783
2.05819420648778,72.90665585654813,15.464139522435843,1001.2943808807787
2.1609001720375023,73.07279092247401,15.93002787862408,1000.9455184156845
2.1059607483974627,72.7296096915147,16.071402766287907,1001.4015026314472
2.0257492828439734,72.70858411534472,16.307722546566815,1001.901471553432
1.962136566821842,72.07957348090568,15.738483148944942,1002.4418268741256
2.2328207189082168,72.26668901774175,15.497396763722332,1002.3004381983618
2.514772671148675,72.39839376274978,15.480150007877732,1002.3664424010242
